"","year","grade","cumulative_gpa","term","gpa"
"3360","2020",8,"1.4285","2",1.571
"3361","2020",8,"3.7855","1",3.714
"3362","2020",8,"3.7855","2",3.857
"3363","2020",7,"3.5","1",3.571
"3364","2020",7,"3.5","2",3.429
"3365","2020",8,"0.643","1",0.286
"3366","2020",8,"0.643","2",1
"3367","2020",6,"3.143","1",3.286
"3368","2020",6,"3.143","2",3
"3369","2020",6,"3.286","1",3.143
"3370","2020",6,"3.286","2",3.429
"3371","2020",6,"2.357","1",2.143
"3372","2020",6,"2.357","2",2.571
"3373","2020",6,"0.0835","1",0
"3374","2020",6,"0.0835","2",0.167
"3375","2020",6,"3.714","1",3.714
"3376","2020",6,"3.714","2",3.714
"3377","2020",6,"2.0715","1",2.286
"3378","2020",6,"2.0715","2",1.857
"3379","2020",6,"2.9285","1",2.857
"3380","2020",6,"2.9285","2",3
"3381","2020",6,"0.7855","1",0.714
"3382","2020",6,"0.7855","2",0.857
"3383","2020",6,"1.4285","1",1.714
"3384","2020",6,"1.4285","2",1.143
"3385","2020",6,"2.6425","1",2.571
"3386","2020",6,"2.6425","2",2.714
"3387","2020",7,"1.143","1",1
"3388","2020",7,"1.143","2",1.286
"3389","2020",8,"3.4645","1",3.5
"3390","2020",8,"3.4645","2",3.429
"3391","2020",7,"1.0715","1",1
"3392","2020",7,"1.0715","2",1.143
"3393","2020",8,"2.2855","1",2.857
"3394","2020",8,"2.2855","2",1.714
"3395","2020",7,"1.4285","1",1.571
"3396","2020",7,"1.4285","2",1.286
"3397","2020",7,"0.452","1",0.333
"3398","2020",7,"0.452","2",0.571
"3399","2020",7,"0.286","1",0.143
"3400","2020",7,"0.286","2",0.429
"3401","2020",8,"0.571","1",0.571
"3402","2020",8,"0.571","2",0.571
"3403","2020",8,"4","1",4
"3404","2020",8,"4","2",4
"3405","2020",6,"1.4285","1",1.286
"3406","2020",6,"1.4285","2",1.571
"3407","2020",8,"1.071","1",0.571
"3408","2020",8,"1.071","2",1.571
"3409","2020",6,"2.857","1",3
"3410","2020",6,"2.857","2",2.714
"3411","2020",7,"3.143","1",3
"3412","2020",7,"3.143","2",3.286
"3413","2020",7,"1.0235","1",0.333
"3414","2020",7,"1.0235","2",1.714
"3415","2020",8,"3.9285","1",3.857
"3416","2020",8,"3.9285","2",4
"3417","2020",6,"3.9285","1",3.857
"3418","2020",6,"3.9285","2",4
"3419","2020",7,"0.7855","1",0.857
"3420","2020",7,"0.7855","2",0.714
"3421","2020",6,"0.6425","1",0.714
"3422","2020",6,"0.6425","2",0.571
"3423","2020",6,"0.7855","1",1
"3424","2020",6,"0.7855","2",0.571
"3425","2020",8,"1.857","1",1.714
"3426","2020",8,"1.857","2",2
"3427","2020",7,"3.2145","1",3
"3428","2020",7,"3.2145","2",3.429
"3429","2020",6,"3.857","1",4
"3430","2020",6,"3.857","2",3.714
"3431","2020",6,"3.4285","1",3.286
"3432","2020",6,"3.4285","2",3.571
"3433","2020",7,"1.3575","1",1.286
"3434","2020",7,"1.3575","2",1.429
"3435","2020",6,"3.5715","1",3.429
"3436","2020",6,"3.5715","2",3.714
"3437","2020",6,"3.4285","1",3.571
"3438","2020",6,"3.4285","2",3.286
"3439","2020",8,"2.0715","1",2.429
"3440","2020",8,"2.0715","2",1.714
"3441","2020",7,"3.9285","1",3.857
"3442","2020",7,"3.9285","2",4
"3443","2020",8,"2.2145","1",3
"3444","2020",8,"2.2145","2",1.429
"3445","2020",7,"2.643","1",2.857
"3446","2020",7,"2.643","2",2.429
"3447","2020",6,"2.7855","1",2.857
"3448","2020",6,"2.7855","2",2.714
"3449","2020",6,"1.643","1",1.286
"3450","2020",6,"1.643","2",2
"3451","2020",7,"4","1",4
"3452","2020",7,"4","2",4
"3453","2020",7,"1.202","1",0.833
"3454","2020",7,"1.202","2",1.571
"3455","2020",7,"0.9165","1",0.833
"3456","2020",7,"0.9165","2",1
"3457","2020",6,"1.5","1",1.714
"3458","2020",6,"1.5","2",1.286
"3459","2020",7,"0.7855","1",1
"3460","2020",7,"0.7855","2",0.571
"3461","2020",7,"0.429","1",0.429
"3462","2020",7,"0.429","2",0.429
"3463","2020",8,"2.655","1",2.167
"3464","2020",8,"2.655","2",3.143
"3465","2020",8,"1.0715","1",1.143
"3466","2020",8,"1.0715","2",1
"3467","2020",6,"0.5","1",0.571
"3468","2020",6,"0.5","2",0.429
"3469","2020",8,"1.9285","1",1.714
"3470","2020",8,"1.9285","2",2.143
"3471","2020",8,"2.5","1",2.857
"3472","2020",8,"2.5","2",2.143
"3473","2020",8,"3.286","1",3.286
"3474","2020",8,"3.286","2",3.286
"3475","2020",8,"1.714","1",1.571
"3476","2020",8,"1.714","2",1.857
"3477","2020",7,"3.714","1",3.857
"3478","2020",7,"3.714","2",3.571
"3479","2020",7,"3.286","1",3.429
"3480","2020",7,"3.286","2",3.143
"3481","2020",8,"3.857","1",3.714
"3482","2020",8,"3.857","2",4
"3483","2020",8,"3.8335","1",3.667
"3484","2020",8,"3.8335","2",4
"3485","2020",8,"1.286","1",1.286
"3486","2020",8,"1.286","2",1.286
"3487","2020",7,"1.5715","1",1.857
"3488","2020",7,"1.5715","2",1.286
"3489","2020",8,"2.857","1",2.857
"3490","2020",8,"2.857","2",2.857
"3491","2020",6,"3.143","1",2.857
"3492","2020",6,"3.143","2",3.429
"3493","2020",6,"2.5","1",2.429
"3494","2020",6,"2.5","2",2.571
"3495","2020",6,"3.0715","1",2.857
"3496","2020",6,"3.0715","2",3.286
"3497","2020",6,"3.7145","1",3.429
"3498","2020",6,"3.7145","2",4
"3499","2020",8,"2.714","1",2.714
"3500","2020",8,"2.714","2",2.714
"3501","2020",7,"1.893","1",2.286
"3502","2020",7,"1.893","2",1.5
"3503","2020",8,"2.143","1",2
"3504","2020",8,"2.143","2",2.286
"3505","2020",6,"4","1",4
"3506","2020",6,"4","2",4
"3507","2020",8,"1","1",1.286
"3508","2020",8,"1","2",0.714
"3509","2020",7,"4","1",4
"3510","2020",7,"4","2",4
"3511","2020",7,"2.2145","1",2.286
"3512","2020",7,"2.2145","2",2.143
"3513","2020",6,"3.143","1",3.143
"3514","2020",6,"3.143","2",3.143
"3515","2020",7,"0.5235","1",0.333
"3516","2020",7,"0.5235","2",0.714
"3517","2020",6,"1","1",1
"3518","2020",6,"1","2",1
"3519","2020",6,"3.4285","1",3.571
"3520","2020",6,"3.4285","2",3.286
"3521","2020",7,"4","1",4
"3522","2020",7,"4","2",4
"3523","2020",6,"2.9285","1",3
"3524","2020",6,"2.9285","2",2.857
"3525","2020",6,"2.9285","1",3
"3526","2020",6,"2.9285","2",2.857
"3527","2020",6,"2.2855","1",2
"3528","2020",6,"2.2855","2",2.571
"3529","2020",8,"2.9285","1",3
"3530","2020",8,"2.9285","2",2.857
"3531","2020",6,"1.714","1",1.714
"3532","2020",6,"1.714","2",1.714
"3533","2020",7,"2.202","1",1.833
"3534","2020",7,"2.202","2",2.571
"3535","2020",6,"2.9285","1",3
"3536","2020",6,"2.9285","2",2.857
"3537","2020",8,"3.9165","1",3.833
"3538","2020",8,"3.9165","2",4
"3539","2020",7,"3.571","1",3.571
"3540","2020",7,"3.571","2",3.571
"3541","2020",8,"1","1",1.286
"3542","2020",8,"1","2",0.714
"3543","2020",7,"1.4285","1",1
"3544","2020",7,"1.4285","2",1.857
"3545","2020",6,"3.7855","1",3.857
"3546","2020",6,"3.7855","2",3.714
"3547","2020",8,"0.393","1",0.286
"3548","2020",8,"0.393","2",0.5
"3549","2020",8,"2.357","1",2.143
"3550","2020",8,"2.357","2",2.571
"3551","2020",6,"2.9285","1",2.857
"3552","2020",6,"2.9285","2",3
"3553","2020",8,"1.2145","1",1.286
"3554","2020",8,"1.2145","2",1.143
"3555","2020",6,"2.143","1",1.857
"3556","2020",6,"2.143","2",2.429
"3557","2020",6,"1.7855","1",1.714
"3558","2020",6,"1.7855","2",1.857
"3559","2020",6,"2.357","1",2.714
"3560","2020",6,"2.357","2",2
"3561","2020",7,"2.286","1",2.286
"3562","2020",7,"2.286","2",2.286
"3563","2020",7,"3.4285","1",3.286
"3564","2020",7,"3.4285","2",3.571
"3565","2020",6,"1.9285","1",1.857
"3566","2020",6,"1.9285","2",2
"3567","2020",7,"3.452","1",3.333
"3568","2020",7,"3.452","2",3.571
"3569","2020",7,"2.4285","1",2.286
"3570","2020",7,"2.4285","2",2.571
"3571","2020",6,"3.5","1",3.714
"3572","2020",6,"3.5","2",3.286
"3573","2020",8,"2.8575","1",3.286
"3574","2020",8,"2.8575","2",2.429
"3575","2020",7,"3","1",3.286
"3576","2020",7,"3","2",2.714
"3577","2020",6,"1.786","1",1.429
"3578","2020",6,"1.786","2",2.143
